id,text,unit,updated,firstPeriod,latestPeriod,active,variables
FORSK5C,Bestand og brug af elektroniske ressourcer på forskningsbiblioteker med særlige forpligtelser,antal,2020-07-08T08:00:00,2014,2019,True,"['bibliotek', 'opgørelse', 'elektronisk materialetype', 'placering', 'tid']"
BIO1,"Danske biografer, biografsale og faste siddepladser",antal,2020-04-01T08:00:00,1980,2019,True,"['biografer/sale/sæder', 'biografstørrelse', 'tid']"
BIO2,Aktivitet i danske biografer,-,2020-04-01T08:00:00,1980,2019,True,"['biograferfilm/billetter', 'nationalitet', 'tid']"
BIO9,Biografer,-,2020-04-01T08:00:00,2014,2019,True,"['område', 'nøgletal', 'biografstørrelse', 'tid']"
BIO4TA,Biograffilm/premierefilm,-,2020-04-01T08:00:00,2007,2019,True,"['biograferfilm/billetter', 'type/målgruppe', 'filmens danske urpremiere', 'nationalitet', 'tid']"
BIO5,Biograffilm,antal,2020-04-01T08:00:00,2007,2019,True,"['biograferfilm/billetter', 'filmkategori', 'type/målgruppe', 'censur', 'nationalitet', 'tid']"
BIO6,Biograffilm,pct.,2020-04-01T08:00:00,2007,2019,True,"['nøgletal', 'spilleuge', 'nationalitet', 'type/målgruppe', 'tid']"
BOG02,Udkomne bøger,antal,2020-09-17T08:00:00,2007,2019,True,"['emne', 'omfang', 'udgave', 'medie', 'tid']"
BOG03,Bogproduktion,antal,2020-09-17T08:00:00,2007,2019,True,"['emne', 'originalsprog', 'udgivet på', 'medie', 'tid']"
BOG04,Skolebøger og børnebøger,antal,2020-09-17T08:00:00,2007,2019,True,"['emne', 'bogtype', 'udgave', 'medie', 'tid']"
BOG05,Bogtitler,antal,2020-09-17T08:00:00,2012,2019,True,"['emne', 'publiceringstype', 'medie', 'tid']"
BOG06,Kommercielt udkomne bøger,antal,2020-09-17T08:00:00,2009,2019,True,"['emne', 'omfang', 'udgave', 'medie', 'originalsprog', 'tid']"
DAGBLAD3,Dagblade ,-,2020-06-24T08:00:00,2018,2019,True,"['nøgletal', 'geografisk dækning', 'læsertalsinterval', 'tid']"
MAGASIN2,Magasiner,antal,2020-06-24T08:00:00,2018,2019,True,"['nøgletal', 'udgivelsesfrekvens', 'emne', 'læsertalsinterval', 'tid']"
FAGBLAD2,Fagblade,antal,2020-06-24T08:00:00,2018,2019,True,"['nøgletal', 'udgivelsesfrekvens', 'branche', 'læsertalsinterval', 'tid']"
AVISLAS1,Avislæsere,1.000 personer,2020-06-24T08:00:00,2018,2019,True,"['nøgletal', 'geografisk område', 'tid']"
DIS122,Bredbåndsabonnementer,antal,2020-08-14T08:00:00,2000H2,2019H2,True,"['bredbåndstype', 'tid']"
